	index	Date	Longitude	Latitude	Location	Crime type	StreetNumber	Street	Locality	AdministrativeAreaLevel2	AdministrativeAreaLevel1	Country	PostCode
1430	725	2015-09	-6.372803	54.443456000000005	On or near Westacres	Anti-social behaviour	117-215	Westacres	Drumgor	Craigavon	Northern Ireland	United Kingdom	BT65
1431	4428	2015-06	-6.045871	54.513229	On or near Bachelors Walk	Anti-social behaviour	19	Graham Gardens	Lisburn	Lisburn	Northern Ireland	United Kingdom	BT28 1XJ
1432	206	2014-10	-6.665799000000001	55.094815000000004	On or near Glenleary Road	Anti-social behaviour	36-40	Glenleary Rd		Coleraine	Northern Ireland	United Kingdom	BT51
1433	727	2015-08	-6.279948	54.858775	On or near Railway Street	Anti-social behaviour	83-89	Railway St	Ballymena	Ballymena	Northern Ireland	United Kingdom	BT42 2AQ
1434	1830	2016-12	-5.919058000000001	54.67305	On or near Renagh Park	Anti-social behaviour	2	Renagh Park		Newtownabbey	Northern Ireland	United Kingdom	BT36 6BS
1435	1538	2014-10	-5.964395	54.604780000000005	On or near 	Anti-social behaviour	39	Woodvale Pass	Belfast	Belfast	Northern Ireland	United Kingdom	BT13 3FN
1436	4201	2017-04	-6.252574	54.362801	On or near Ballymoney Road	Anti-social behaviour	56	Ballymoney Rd		Banbridge	Northern Ireland	United Kingdom	BT32 4DX
1437	2824	2015-05	-7.274574	54.60025	On or near Riverview Park	Anti-social behaviour		Riverview Park		Omagh	Northern Ireland	United Kingdom	BT79 0ED
1438	2423	2016-02	-5.936447	54.638630000000006	On or near Antrim Road	Anti-social behaviour	701	A6	Belfast	Belfast	Northern Ireland	United Kingdom	BT15 5GL
1439	3005	2015-11	-6.672834	54.769854	On or near Longfield Road	Anti-social behaviour	2	Longfield Rd	Desertmartin	Magherafelt	Northern Ireland	United Kingdom	BT45 5LP
1440	3091	2016-06	-6.7631559999999995	54.49906800000001	On or near 	Anti-social behaviour	63	Northland Pl	Dungannon	Dungannon and South Tyrone	Northern Ireland	United Kingdom	BT71 6EF
1441	1155	2016-12	-7.320469	54.996614	On or near Shipquay Street	Anti-social behaviour	14-42	Shipquay St	Londonderry	Derry	Northern Ireland	United Kingdom	BT48
1442	1250	2016-01	-7.454610000000001	54.823589	On or near Evish Grove	Anti-social behaviour	1-41	Evish Grove	Strabane	Strabane	Northern Ireland	United Kingdom	BT82 8HR
1443	2061	2016-02	-6.038708	54.548944999999996	On or near 	Anti-social behaviour	73-167	Lagmore Glen	Belfast	Lisburn	Northern Ireland	United Kingdom	
1444	2914	2016-09	-6.691628	54.564267	On or near 	Anti-social behaviour	8	Shanliss Rd	Stewartstown	Dungannon and South Tyrone	Northern Ireland	United Kingdom	BT71 5PZ
1445	3631	2016-05	-5.949827	54.253733999999994	On or near Grange Drive	Anti-social behaviour	6	Grange Dr	Castlewellan	County Down	Northern Ireland	United Kingdom	BT31 9UH
1446	869	2016-06	-5.712699	54.322215	On or near Ardpatrick Avenue	Anti-social behaviour	5	Ardpatrick Ave	Downpatrick	County Down	Northern Ireland	United Kingdom	BT30 6JF
1447	3721	2014-10	-6.609260000000001	54.751003000000004	On or near Greenvale Park	Anti-social behaviour	3-5	Princess Terrace	Magherafelt	Magherafelt	Northern Ireland	United Kingdom	BT45 6DP
1448	4700	2015-08	-5.944123	54.614222	On or near Roseleigh Street	Anti-social behaviour	1-17	Roseleigh St	Belfast	Belfast	Northern Ireland	United Kingdom	BT14
1449	3482	2016-02	-6.653355	55.135049	On or near Glebe Avenue	Anti-social behaviour			Ballycastle Road Industrial Estate	Coleraine	Northern Ireland	United Kingdom	BT52 2EJ
1450	1225	2016-07	-7.304521	54.598	On or near St. Columbas Terrace	Anti-social behaviour	2-4	St Columbas Terrace	Omagh	Omagh	Northern Ireland	United Kingdom	BT78
1451	1786	2015-04	-5.691934	54.59174	On or near Castle Street	Anti-social behaviour	14	A20	Newtownards	Ards	Northern Ireland	United Kingdom	BT23
1452	2704	2016-10	-6.011229	54.553986	On or near Oakvale Gardens	Anti-social behaviour	11-37	Oakvale Gardens	Dunmurry	Lisburn	Northern Ireland	United Kingdom	BT17 0SD
1453	2711	2017-02	-5.710589	54.587709	On or near West Green	Anti-social behaviour	16-20	S Green	Newtownards	Ards	Northern Ireland	United Kingdom	BT23 4PG
1454	4370	2017-03	-5.927784	54.603997	On or near Academy Street	Anti-social behaviour	81-87	Academy St	Belfast	Belfast	Northern Ireland	United Kingdom	BT1 2LS
1455	3224	2017-02	-6.308873999999999	54.318481000000006	On or near Donard View Road	Anti-social behaviour	25	Donard View Rd		Banbridge	Northern Ireland	United Kingdom	BT32 3NJ
1456	3220	2015-01	-5.9073150000000005	54.676190000000005	On or near Fernagh Road	Anti-social behaviour	84	Fernagh Rd		Newtownabbey	Northern Ireland	United Kingdom	BT37 0BE
1457	259	2016-06	-6.274417	54.349701	On or near Scarva Street	Anti-social behaviour		B10	Banbridge	Banbridge	Northern Ireland	United Kingdom	BT32
1458	1935	2015-09	-6.226586	54.712623	On or near Firfields	Anti-social behaviour	25-73	Firfields	Antrim	Antrim	Northern Ireland	United Kingdom	BT41
1459	655	2014-10	-6.339119	54.175351	On or near The Mall	Anti-social behaviour	2	Marcus St	Newry	Newry and Mourne	Northern Ireland	United Kingdom	BT34
1460	1011	2015-08	-5.934694	54.599272	On or near Divis Street	Anti-social behaviour		Castle St	Belfast	Belfast	Northern Ireland	United Kingdom	BT1 1GH
1461	742	2014-10	-5.938416	54.630954	On or near Antrim Road	Anti-social behaviour	619	Antrim Rd	Belfast	Belfast	Northern Ireland	United Kingdom	BT15 4DZ
1462	2045	2014-12	-6.708052	55.174690000000005	On or near Old Mill Grange	Anti-social behaviour	50-64	Old Mill Grange	Portstewart	Coleraine	Northern Ireland	United Kingdom	BT55 7GS
1463	2550	2015-04	-5.891737	54.598018999999994	On or near Connswater Street	Anti-social behaviour	406A	Upper Newtownards Rd	Belfast	Belfast	Northern Ireland	United Kingdom	BT4 3EZ
1464	3809	2014-10	-5.928098	54.613356	On or near Glenrosa Street	Anti-social behaviour	6	Glenrosa St	Belfast	Belfast	Northern Ireland	United Kingdom	BT15 2JB
1465	2943	2017-03	-6.519001	55.065755	On or near West Gate	Anti-social behaviour	34	W Gate	Ballymoney	Ballymoney	Northern Ireland	United Kingdom	BT53 6LD
1466	4097	2014-10	-6.376755999999999	54.448747	On or near Burnside	Anti-social behaviour	101	Burnside	Legahory	Craigavon	Northern Ireland	United Kingdom	BT65 5DF
